name,axon:max_section_lengths,axon:sum_section_lengths,axon:sum_section_volumes,axon:max_section_branch_orders,apical_dendrite:max_section_lengths,apical_dendrite:sum_section_lengths,apical_dendrite:sum_section_volumes,apical_dendrite:max_section_branch_orders,basal_dendrite:max_section_lengths,basal_dendrite:sum_section_lengths,basal_dendrite:sum_section_volumes,basal_dendrite:max_section_branch_orders,all:max_section_lengths,all:sum_section_lengths,all:sum_section_volumes,all:max_section_branch_orders,morphology:mean_soma_radius
AA0613.swc,10337.756,53378.344,167693.03002658294,19,,0.0,0.0,,269.00903,3674.3767,11543.394498712682,7,10337.756,57052.727,179236.42452529565,19,1.0
AA0175.swc,2460.2563,123578.016,97091.73812953355,65,,0.0,0.0,,544.41406,4896.803,3845.940275943769,5,2460.2563,128474.81,100937.67840547732,65,1.0
AA0161.swc,3621.3003,65934.26,207138.58131861186,19,,0.0,0.0,,351.91354,5055.684,4119.957331924338,5,3621.3003,70989.94,211258.5386505362,19,1.0
AA0607.swc,1356.9218,72955.234,229195.6335281724,29,,0.0,0.0,,492.99976,4147.6357,13030.182001391147,4,1356.9218,77102.875,242225.81552956358,29,1.0
AA0149.swc,2387.6167,4885.886,4004.126863889082,5,,0.0,0.0,,239.36928,2649.1145,2080.6096721409244,4,2387.6167,7535.0005,6084.736536030006,5,1.0
AA1257.swc,1038.5702,40748.11,128013.9638242225,21,,0.0,0.0,,300.13043,4122.598,12951.525707373492,2,1038.5702,44870.71,140965.489531596,21,1.0
AA0808.swc,3059.4243,80384.47,252535.25261456662,42,,0.0,0.0,,279.55414,3282.923,10313.607620549348,2,3059.4243,83667.39,262848.860235116,42,1.0
AA0834.swc,4937.6567,52522.684,165004.88693102496,26,,0.0,0.0,,323.8352,5121.7827,16090.55283052653,6,4937.6567,57644.47,181095.43976155145,26,1.0
AA0820.swc,3900.9233,24422.523,76725.61374414015,17,,0.0,0.0,,130.70242,6253.0205,19644.441891680824,21,3900.9233,30675.543,96370.05563582096,21,1.0
AA1069.swc,4721.0396,127940.88,401938.14185485966,56,,0.0,0.0,,428.93677,6012.66,18889.326666945733,5,4721.0396,133953.55,420827.4685218054,56,1.0
AA0377.swc,15128.961,50768.86,159495.07291534956,19,,0.0,0.0,,215.98387,4817.2646,15133.88377895637,7,15128.961,55586.125,174628.95669430593,19,1.0
AA0411.swc,3464.607,97354.37,305847.7754067008,18,,0.0,0.0,,,0.0,0.0,,3464.607,97354.37,305847.7754067008,18,1.0
AA0405.swc,1960.7056,67555.93,212233.2143455094,48,,0.0,0.0,,375.92084,3885.9294,12208.007361665523,3,1960.7056,71441.86,224441.2217071749,48,1.0
