,neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,brain_region,cell_type,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,upload_date,deposition_date,shrinkage_reported,shrinkage_corrected,reported_value,reported_xy,reported_z,corrected_value,corrected_xy,corrected_z,soma_surface,surface,volume,slicing_thickness,min_age,max_age,min_weight,max_weight,png_url,reference_pmid,reference_doi,physical_Integrity,_links.self.href,_links.measurements.href,_links.persistence_vector.href
0,85207,AA0088,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['hypothalamus', 'Paraventricular hypothalamic nucleus']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.2056,580060.0,208685.0,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0088.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85207,http://neuromorpho.org/api/morphometry/id/85207,http://neuromorpho.org/api/pvec/id/85207
1,260072,AA1067,MouseLight,,Month,Female,adult,"['hypothalamus', 'Posterior hypothalamic nucleus', 'medial mammillary nucleus']","['principal cell', 'projection']",mouse,C56BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2023-05-04,2020-04-20,Not reported,,,,,,,,12.3771,53320.5,15712.8,25,2.0,2.0,25.0,25.0,,['30859571'],['10.1101/537233'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/260072,http://neuromorpho.org/api/morphometry/id/260072,http://neuromorpho.org/api/pvec/id/260072
2,121606,AA0846,MouseLight,,Month,Female,adult,"['neocortex', 'frontal', 'secondary motor', 'layer 5']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.4083,32089.4,2005.59,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0846.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/121606,http://neuromorpho.org/api/morphometry/id/121606,http://neuromorpho.org/api/pvec/id/121606
3,85032,AA0198,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['hippocampus', 'dentate gyrus']","['principal cell', 'granule', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.3279,29208.6,11662.9,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0198.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85032,http://neuromorpho.org/api/morphometry/id/85032,http://neuromorpho.org/api/pvec/id/85032
4,121561,AA0779,MouseLight,,Month,Female,adult,"['hypothalamus', 'lateral hypothalamic area']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3464,69434.9,4339.68,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0779.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/121561,http://neuromorpho.org/api/morphometry/id/121561,http://neuromorpho.org/api/pvec/id/121561
5,260073,AA1081,MouseLight,,Month,Female,adult,['thalamus'],"['principal cell', 'projection']",mouse,C56BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2023-05-04,2020-04-20,Not reported,,,,,,,,12.2601,126954.0,63476.8,25,2.0,2.0,25.0,25.0,,['30859571'],['10.1101/537233'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/260073,http://neuromorpho.org/api/morphometry/id/260073,http://neuromorpho.org/api/pvec/id/260073
6,85096,AA0040,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['neocortex', 'frontal', 'primary motor', 'layer 6', 'superficial']",['interneuron'],mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.033,79865.5,20532.6,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0040.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85096,http://neuromorpho.org/api/morphometry/id/85096,http://neuromorpho.org/api/pvec/id/85096
7,122002,AA0552,MouseLight,,Month,Female,adult,"['neocortex', 'presubiculum']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3624,24265.8,1516.61,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0552.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/122002,http://neuromorpho.org/api/morphometry/id/122002,http://neuromorpho.org/api/pvec/id/122002
8,85082,AA0108,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['neocortex', 'frontal', 'primary motor', 'layer 5']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.2083,332785.0,83610.3,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0108.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85082,http://neuromorpho.org/api/morphometry/id/85082,http://neuromorpho.org/api/pvec/id/85082
9,84997,AA0070,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['thalamus', 'Anterior group of the dorsal thalamus']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.3268,274570.0,84274.1,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0070.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/84997,http://neuromorpho.org/api/morphometry/id/84997,http://neuromorpho.org/api/pvec/id/84997
