,acronym
AA0719.swc,VM
AA0253.swc,dhc
AA0333.swc,FRP6a
AA0961.swc,CENT3
AA0515.swc,PGRNd
AA0588.swc,MOp5
AA0715.swc,PRE
AA0468.swc,PRE
AA0825.swc,SUB
AA0720.swc,PRE
AA0050.swc,PCN
AA0980.swc,ANcr2
AA0572.swc,DG-mo
AA0258.swc,PRE
AA0442.swc,MOs5
AA0841.swc,MOs5
AA1007.swc,PSV
AA0871.swc,SUB
AA0429.swc,FN
AA0437.swc,LHA
AA0369.swc,CL
AA0653.swc,MOs1
AA0346.swc,VAL
AA0907.swc,MOs5
AA0794.swc,MOs5
AA0511.swc,MB
AA0256.swc,PRE
AA0396.swc,FRP5
AA0181.swc,MOs5
AA0337.swc,PCN
AA0601.swc,CL
AA1079.swc,arb
AA0803.swc,MOs2/3
AA0194.swc,SUB
AA0941.swc,AUDp5
AA1047.swc,ENTl1
AA0426.swc,MOs2/3
AA1014.swc,SIM
AA0438.swc,BST
AA0159.swc,PRE
AA0366.swc,VAL
AA0362.swc,DG-mo
AA0824.swc,SUB
AA0641.swc,MOs6a
AA0535.swc,SUB
AA0590.swc,FRP1
AA0415.swc,MOs5
AA0817.swc,MOs5
AA0827.swc,SUB
AA0645.swc,FRP1
AA1001.swc,MOB
AA0046.swc,MOp5
AA0484.swc,DG-mo
AA0783.swc,MOs6a
AA0496.swc,SUB
AA0834.swc,SUB
AA0868.swc,MOs5
AA0276.swc,MOs5
AA0587.swc,MOs2/3
AA0635.swc,MOs2/3
AA0837.swc,MOs5
AA0774.swc,MOs5
AA0892.swc,MOs5
AA0782.swc,MOs2/3
AA0324.swc,MOs5
AA0405.swc,RT
AA0920.swc,VPM
AA0029.swc,fi
AA0001.swc,SSp-m5
AA0618.swc,MOp1
AA0858.swc,MOs5
AA0155.swc,DG-sg
AA0501.swc,ICe
AA0948.swc,MY
AA0183.swc,MOs6a
AA0745.swc,MOs5
AA1030.swc,SPVI
AA0196.swc,DG-po
AA0693.swc,VAL
AA1064.swc,ECU
AA1051.swc,MOp5
AA1008.swc,TRN
AA0051.swc,CL
AA0857.swc,VISp6b
AA0763.swc,PoT
AA0510.swc,PRNc
AA0267.swc,MOs5
AA0787.swc,MOs5
AA0534.swc,MOs5
AA0025.swc,fp
AA0518.swc,AV
AA0687.swc,SUB
AA0615.swc,ZI
AA0480.swc,PRE
AA0728.swc,ProS
AA0422.swc,MOs5
AA1016.swc,SIM
AA0247.swc,ProS
AA0184.swc,MOs5
AA0009.swc,MOp2/3
AA0862.swc,ccb
AA0234.swc,ACAd6a
AA0091.swc,DG-sg
AA0077.swc,sm
AA0060.swc,MOs6a
AA1066.swc,SUB
AA0915.swc,MOs2/3
AA0485.swc,VAL
AA0190.swc,MOs5
AA0432.swc,arb
AA0067.swc,ACAd5
AA0352.swc,PO
AA0976.swc,COPY
AA0123.swc,CA1
AA0285.swc,MOs6a
AA0111.swc,ACAd6a
AA0972.swc,CENT2
AA0295.swc,LD
AA0163.swc,HY
AA0169.swc,MOs5
AA0202.swc,DG-mo
AA0028.swc,VISp4
AA0085.swc,or
AA0936.swc,MMme
AA0711.swc,VISl6a
AA0667.swc,MOs5
AA0849.swc,SUB
AA0958.swc,LSr
AA0749.swc,MOs5
AA0988.swc,CENT3
AA0714.swc,PRE
AA0808.swc,ZI
AA0754.swc,VPM
AA0723.swc,PRE
AA0113.swc,ACAd6a
AA0524.swc,PRE
AA0585.swc,MOp1
AA0674.swc,MOs1
AA0549.swc,MOs6a
AA1006.swc,TRN
AA0930.swc,MMd
AA0024.swc,POST
AA0216.swc,HY
AA1542.swc,MOp6a
AA0567.swc,dhc
AA0457.swc,PL6a
AA0965.swc,COPY
AA0822.swc,SUB
AA0660.swc,MOs1
AA0520.swc,LD
AA1286.swc,VISp2/3
AA0317.swc,VPM
AA1192.swc,GPi
AA0528.swc,PRE
AA0443.swc,ZI
AA0373.swc,CL
AA0899.swc,MOs5
AA0652.swc,MOp5
AA0138.swc,RE
AA0951.swc,MDRNv
AA0613.swc,ProS
